Order ID,Order Date,Customer ID,Customer Name,Zip Code,Trade,NDC,Quantity,Line Total
7445302,02/01/2022,FF0000244,Pharmacy 0814,00739,PHM,11026277504,2,22.82
7445395,02/01/2022,BM0000001,Pharmacy 0428,00605,PHM,13668000801,3,5.76
7445395,02/01/2022,BM0000001,Pharmacy 0428,00605,PHM,62332038031,3,30.24
7445424,02/01/2022,FF0000243,Pharmacy 0813,00612,PHM,00406048401,3,32.73
7445504,02/01/2022,FF0000062,Pharmacy 0632,00751,PHM,00409230802,2,27.24
7445524,02/01/2022,FF0000081,Pharmacy 0651,00771,PHM,00641605910,1,15.72
7445575,02/01/2022,FF0000019,Pharmacy 0589,00739,PHM,69543013611,1,14.49
7445608,02/01/2022,BF0000057,Pharmacy 0244,00794,PHM,69315090405,1,17.34
7445623,02/01/2022,FF0000232,Pharmacy 0802,00983,PHM,58238022804,4,41
7445775,02/01/2022,BF0000002,Pharmacy 0189,00667,PHM,00093321205,1,10.91
7445775,02/01/2022,BF0000002,Pharmacy 0189,00667,PHM,59762371901,1,3.34
7445784,02/01/2022,BY0000001,Pharmacy 0518,00921,PHM,65862096901,1,8.81
7445804,02/01/2022,BF0000216,Pharmacy 0403,00911,PHM,58238022804,4,41.52
7445822,02/01/2022,FF0000066,Pharmacy 0636,00693,PHM,51991070701,4,13.88
7445848,02/01/2022,BG0000002,Pharmacy 0409,00723,PHM,10702002501,3,14.91
7445895,02/01/2022,BF0000095,Pharmacy 0282,00957,PHM,00378415101,2,5.08
7445921,02/01/2022,BF0000135,Pharmacy 0322,00610,PHM,13668000701,1,1.98
7445959,02/01/2022,FS0000016,Pharmacy 0973,00725,PHM,00574082001,2,39.76
7446006,02/01/2022,FF0000067,Pharmacy 0637,00969,PHM,69315090401,3,13.17
7446006,02/01/2022,FF0000067,Pharmacy 0637,00969,PHM,69315090501,3,14.49
7446023,02/01/2022,FF0000271,Pharmacy 0841,00794,PHM,00131247935,1,914.05
7446076,02/01/2022,FA0000001,Pharmacy 0522,00927,PHM,63824005718,3,36.72
7446092,02/01/2022,BF0000216,Pharmacy 0403,00911,PHM,00378415101,5,12.60
7446134,02/01/2022,FF0000027,Pharmacy 0597,00669,PHM,00093083201,2,3.10
