Order ID,Order Date,Customer ID,Customer Name,Zip Code,Trade,NDC,Quantity,Line Total
7286632,01/01/2022,FS0000009,Pharmacy 0966,00791,PHM,60432060616,1,8.64
7286651,01/01/2022,AF0000044,Pharmacy 0056,00603,PHM,00409230802,1,13.55
7286657,01/01/2022,FF0000108,Pharmacy 0678,00966,PHM,58238022804,4,40.96
7286662,01/01/2022,FF0000275,Pharmacy 0845,00653,PHM,00093321205,2,21.46
7286678,01/01/2022,BF0000149,Pharmacy 0336,00717,PHM,59762371901,1,3.34
7287031,01/01/2022,FF0000276,Pharmacy 0846,00674,PHM,58238022604,1,11.13
7287036,01/01/2022,FF0000123,Pharmacy 0693,00949,WMR,51991070701,2,7.22
7287055,01/01/2022,FF0000199,Pharmacy 0769,00676,PHM,00228300511,5,17.20
7287081,01/01/2022,FF0000162,Pharmacy 0732,00667,PHM,00121077516,1,11.48
7287087,01/01/2022,BF0000062,Pharmacy 0249,00784,PHM,10702002501,1,4.94
7287088,01/01/2022,BF0000082,Pharmacy 0269,00923,PHM,67877014601,5,41.65
7287096,01/01/2022,BF0000126,Pharmacy 0313,00729,PHM,62332038231,1,7.70
7287105,01/01/2022,BF0000169,Pharmacy 0356,00959,PHM,59762136001,1,10.01
7287126,01/01/2022,FL0000003,Pharmacy 0903,00773,PHM,00093083201,10,15.50
7287126,01/01/2022,FL0000003,Pharmacy 0903,00773,PHM,43547040710,6,20.64
7287160,01/02/2022,FB0000006,Pharmacy 0533,00920,PHM,10702018501,10,59.60
7287185,01/02/2022,FS0000016,Pharmacy 0973,00725,PHM,11026277504,12,170.76
7287191,01/02/2022,BL0000006,Pharmacy 0427,00612,PHM,59762135101,2,19.88
7287203,01/02/2022,BB0000005,Pharmacy 0140,00979,PHM,00641605325,2,141.40
7287203,01/02/2022,BB0000005,Pharmacy 0140,00979,PHM,10147068701,1,474.71
7287207,01/02/2022,AP0000003,Pharmacy 0109,00922,PHM,00115180001,1,8.16
7287207,01/02/2022,AP0000003,Pharmacy 0109,00922,PHM,10147068601,1,389.11
7287207,01/02/2022,AP0000003,Pharmacy 0109,00922,PHM,24478032406,4,1092.76
7287221,01/02/2022,AM0000001,Pharmacy 0102,00984,PHM,00115174001,1,428.15
7287221,01/02/2022,AM0000001,Pharmacy 0102,00984,PHM,00115180101,1,28.91
7287221,01/02/2022,AM0000001,Pharmacy 0102,00984,PHM,68382095501,2,41.92
7287222,01/02/2022,BF0000116,Pharmacy 0303,00674,PHM,00115149001,1,129.19
7287222,01/02/2022,BF0000116,Pharmacy 0303,00674,PHM,00115149101,1,129.19
7287222,01/02/2022,BF0000116,Pharmacy 0303,00674,PHM,00115180001,2,16.44
7287222,01/02/2022,BF0000116,Pharmacy 0303,00674,PHM,00115180101,2,46.64
7287222,01/02/2022,BF0000116,Pharmacy 0303,00674,PHM,00406902576,2,26.24
7287222,01/02/2022,BF0000116,Pharmacy 0303,00674,PHM,10147068801,1,430.84
7287222,01/02/2022,BF0000116,Pharmacy 0303,00674,PHM,68382095001,2,32.74
7287222,01/02/2022,BF0000116,Pharmacy 0303,00674,PHM,68382095201,3,80.97
7287222,01/02/2022,BF0000116,Pharmacy 0303,00674,PHM,68382095401,1,37.29
7287236,01/02/2022,FF0000093,Pharmacy 0663,00602,PHM,00406051201,10,83.80
7287236,01/02/2022,FF0000093,Pharmacy 0663,00602,PHM,00641605325,2,142.56
7287236,01/02/2022,FF0000093,Pharmacy 0663,00602,PHM,00641605425,2,149.64
7287236,01/02/2022,FF0000093,Pharmacy 0663,00602,PHM,10147068601,1,391.78
7287239,01/02/2022,BF0000116,Pharmacy 0303,00674,PHM,00115173701,1,255.05
7287239,01/02/2022,BF0000116,Pharmacy 0303,00674,PHM,00115180201,1,22.89
7287239,01/02/2022,BF0000116,Pharmacy 0303,00674,PHM,10702018550,2,60.50
7287239,01/02/2022,BF0000116,Pharmacy 0303,00674,PHM,24478032406,2,550.12
7287239,01/02/2022,BF0000116,Pharmacy 0303,00674,PHM,27808010201,1,1098.56
7287239,01/02/2022,BF0000116,Pharmacy 0303,00674,PHM,59417010310,1,986.15
7287239,01/02/2022,BF0000116,Pharmacy 0303,00674,PHM,59417010510,1,986.15
7287239,01/02/2022,BF0000116,Pharmacy 0303,00674,PHM,59417010610,1,986.15
7287250,01/02/2022,BF0000108,Pharmacy 0295,00783,PHM,00115180001,2,16.44
7287250,01/02/2022,BF0000108,Pharmacy 0295,00783,PHM,00115992201,1,309.59
7287250,01/02/2022,BF0000108,Pharmacy 0295,00783,PHM,10702010801,6,229.68
7287250,01/02/2022,BF0000108,Pharmacy 0295,00783,PHM,10702018501,5,29.80
7287250,01/02/2022,BF0000108,Pharmacy 0295,00783,PHM,60505708202,6,111.66
7287250,01/02/2022,BF0000108,Pharmacy 0295,00783,PHM,60505708302,2,52.14
7287250,01/02/2022,BF0000108,Pharmacy 0295,00783,PHM,60951060270,5,101.80
7287252,01/02/2022,BF0000019,Pharmacy 0206,00602,PHM,00115180201,1,22.89
7287252,01/02/2022,BF0000019,Pharmacy 0206,00602,PHM,10147068701,1,478.57
7287252,01/02/2022,BF0000019,Pharmacy 0206,00602,PHM,10702018501,3,17.88
7287252,01/02/2022,BF0000019,Pharmacy 0206,00602,PHM,68382095001,3,49.11
7287252,01/02/2022,BF0000019,Pharmacy 0206,00602,PHM,68382095201,3,80.97
7287252,01/02/2022,BF0000019,Pharmacy 0206,00602,PHM,68382095501,3,50.70
7287260,01/02/2022,FF0000042,Pharmacy 0612,00729,WMR,59762371901,3,10.26
7287279,01/02/2022,FF0000220,Pharmacy 0790,00960,PHM,10702002501,2,9.98
7287282,01/02/2022,RA0000001,Pharmacy 1005,00922,HOS,00409189101,100,2224.00
7287312,01/02/2022,BF0000115,Pharmacy 0302,00715,PHM,00115173701,5,1272.85
7287312,01/02/2022,BF0000115,Pharmacy 0302,00715,PHM,00406186001,1,378.41
7287312,01/02/2022,BF0000115,Pharmacy 0302,00715,PHM,10702010101,6,141.30
7287312,01/02/2022,BF0000115,Pharmacy 0302,00715,PHM,68382095201,3,80.82
7287319,01/02/2022,BF0000150,Pharmacy 0337,00986,PHM,67877014701,1,7.72
7287323,01/02/2022,FW0000004,Pharmacy 1001,00969,PHM,00904672846,1,1.98
7287323,01/02/2022,FW0000004,Pharmacy 1001,00969,PHM,53746061701,3,17.67
7287329,01/02/2022,BS0000013,Pharmacy 0479,00676,PHM,54932050181,2,92.90
7287334,01/02/2022,BD0000006,Pharmacy 0181,00674,HOS,00641605225,40,2800.00
